station_id,route_key,mp,role,reason,site,station_type,on,at,shs_offset_m,lat,lon
00221,,,out,not on a state route,,P,Northside BLVD,"Northside Blvd  0.75 Mi. S of Jct I-84, Nampa",,43.5896301517403,-116.572133647795
00223,,,out,not on a state route,,P,Middleton RD,"Middleton Rd  0.3 Mi. N of Caldwell Blvd, Nampa",,43.6164150828701,-116.613217802129
00224,,,out,not on a state route,,P,Ustick RD,,,43.6339319893461,-116.637740219972
00225,,,out,not on a state route,,P,Linden ST,"E Linden St  0.5 Mi. W of I-84, Caldwell",,43.6481985562092,-116.660081380276
00226,,,out,not on a state route,,P,S 21st AVE,,,43.6574162377124,-116.673038823323
00230,,,out,not on a state route,,P,Harrison BLVD,"Harrison Blvd  0.1 Mi. N of Hays St, Boise",,43.6265452866181,-116.208327917427
00237-05-24-2026,,,out,not a five-digit id,,P,INT 84 MAIN,I-84  2.1 Mi. W of US-93 OP (WB),,42.6574009801494,-114.481861382863
00249,,,out,not on a state route,,P,Chubbuck RD,"E Chubbuck Rd  0.35 Mi. W of Yellowstone Ave, Chubbuck",,42.9204587401011,-112.459273001791
00251,,,out,not on a state route,,P,W Alameda RD,"W Alameda Rd  0.13 Mi. W. of Yellowstone Ave, Pocatello",,42.891423990798,-112.453877998465
00252,,,out,not on a state route,,P,W Cedar ST,"Cedar St  300 Ft. E of Roosevelt Ave, Pocatello",,42.8877833399673,-112.454141075947
00253,,,out,not on a state route,,P,W Maple ST,"Maple St  200 Ft. W of Yellowstone Ave, Pocatello",,42.8805599950188,-112.452123147282
00255,,,out,not on a state route,,P,W Center ST,"Center St  Underpass, corner of Center & N. Union Pac. Ave, SW of UP",,42.8625162328057,-112.449975353972
00256,,,out,not on a state route,,P,E Benton ST,"E Benton St  150 Ft. SW of S. 1st Ave, Pocatello",,42.8613390482412,-112.443657299031
00257,,,out,not on a state route,,P,Cheyenne AVE,,,42.825743871193,-112.40796706514
00258,,,out,not on a state route,,P,W Gould ST,"W Gould St  400 Ft. W of Garrett Way, Pocatello",,42.8751957271091,-112.459056395807
00259,,,out,not on a state route,,P,South Valley RD,SMA 7217  0.2 Mi E of S Bannock Hwy,,42.8308925301484,-112.404731388286
00269,,,out,ramp count,,P,INT 184 RAMP,I-184 WB ramp to Cole Rd,,43.6092629849745,-116.271797714774
00271,,,out,not on a state route,,P,N Linder RD,Linder Rd  0.4 Mi. S of SH-44,,43.6885712621554,-116.413653696872
00272,,,out,not on a state route,,P,Star RD,Star Rd  0.73 Mi. S of SH-44,,43.6813212223899,-116.493120319134
00291,,,out,daily totals only (no hourly shape),,P,INT 90 MAIN,I-90  0.1 Mi. E of end of EB On Ramp IC #12 (EB),,47.6990939049376,-116.799902968831
00301-10-1-25,,,out,not a five-digit id,,P,INT 86 MAIN,0.1Mi  W of Jct SB on Ramp to I-15,,42.9087291476508,-112.440535697479
00307,,,out,not on a state route,,P,W Larch ST,"Larch St  100 Ft. W of 5th Ave, Sandpoint",,48.280336,-116.553735
00309,,,out,not on a state route,,P,W Larch ST,"Larch St  100 Ft. E of 5th Ave, Sandpoint",,48.280345,-116.552891
00312,,,out,not on a state route,,P,Olds Ferry RD,Olds Ferry Rd  0.5 Mi. W of Eaton Rd,,44.2818600176359,-117.093943184967
00329,,,out,ramp count,,P,INT 84 MAIN,I-84 .1 Mi. E of Frankllin Rd. IC EB On ramp (EB),,43.6613187076324,-116.658697204598
00334,,,out,no SHS line of its route within reach,,P,,"SH-55 (State), 865' Southeast of Edgewood Lane",,43.5989315027243,-116.554617413892
00343,,,out,not on a state route,,P,New Day PKY,Chubbuck - New Day Parkway .31 Mi. East of US-91,,42.9350002346702,-112.460220825085
